 Prayer Times Schedule 2003
Location: Taif, SAUDI ARABIA
Juristic Method: Standard, Timezone: GMT +3.0
Calculation Method: Umm Al-Qura 
January  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:33 6:55 12:22 3:27 5:48 7:18 
2 5:33 6:56 12:23 3:28 5:49 7:19 
3 5:33 6:56 12:23 3:28 5:49 7:19 
4 5:34 6:56 12:24 3:29 5:50 7:20 
5 5:34 6:56 12:24 3:30 5:51 7:21 
6 5:34 6:57 12:25 3:30 5:51 7:21 
7 5:35 6:57 12:25 3:31 5:52 7:22 
8 5:35 6:57 12:25 3:31 5:53 7:23 
9 5:35 6:57 12:26 3:32 5:53 7:23 
10 5:35 6:57 12:26 3:33 5:54 7:24 
11 5:36 6:58 12:27 3:33 5:55 7:25 
12 5:36 6:58 12:27 3:34 5:55 7:25 
13 5:36 6:58 12:27 3:35 5:56 7:26 
14 5:36 6:58 12:28 3:35 5:57 7:27 
15 5:36 6:58 12:28 3:36 5:57 7:27 
16 5:36 6:58 12:28 3:36 5:58 7:28 
17 5:36 6:58 12:29 3:37 5:59 7:29 
18 5:37 6:58 12:29 3:38 6:00 7:30 
19 5:37 6:58 12:29 3:38 6:00 7:30 
20 5:37 6:58 12:30 3:39 6:01 7:31 
21 5:37 6:58 12:30 3:39 6:02 7:32 
22 5:37 6:58 12:30 3:40 6:02 7:32 
23 5:37 6:57 12:31 3:40 6:03 7:33 
24 5:37 6:57 12:31 3:41 6:04 7:34 
25 5:36 6:57 12:31 3:42 6:04 7:34 
26 5:36 6:57 12:31 3:42 6:05 7:35 
27 5:36 6:57 12:32 3:43 6:06 7:36 
28 5:36 6:57 12:32 3:43 6:06 7:36 
29 5:36 6:56 12:32 3:44 6:07 7:37 
30 5:36 6:56 12:32 3:44 6:07 7:37 
31 5:36 6:56 12:32 3:45 6:08 7:38 
 February  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:35 6:55 12:32 3:45 6:09 7:39 
2 5:35 6:55 12:33 3:46 6:09 7:39 
3 5:35 6:55 12:33 3:46 6:10 7:40 
4 5:35 6:54 12:33 3:46 6:10 7:40 
5 5:34 6:54 12:33 3:47 6:11 7:41 
6 5:34 6:53 12:33 3:47 6:12 7:42 
7 5:34 6:53 12:33 3:48 6:12 7:42 
8 5:33 6:52 12:33 3:48 6:13 7:43 
9 5:33 6:52 12:33 3:48 6:13 7:43 
10 5:32 6:51 12:33 3:49 6:14 7:44 
11 5:32 6:51 12:33 3:49 6:14 7:44 
12 5:32 6:50 12:33 3:49 6:15 7:45 
13 5:31 6:50 12:33 3:50 6:16 7:46 
14 5:31 6:49 12:33 3:50 6:16 7:46 
15 5:30 6:49 12:33 3:50 6:17 7:47 
16 5:30 6:48 12:33 3:51 6:17 7:47 
17 5:30 6:48 12:33 3:51 6:17 7:47 
18 5:28 6:47 12:33 3:51 6:18 7:48 
19 5:28 6:46 12:33 3:51 6:19 7:49 
20 5:27 6:46 12:33 3:52 6:19 7:49 
21 5:27 6:45 12:33 3:52 6:20 7:50 
22 5:26 6:44 12:32 3:52 6:20 7:50 
23 5:25 6:43 12:32 3:52 6:20 7:50 
24 5:25 6:43 12:32 3:52 6:21 7:51 
25 5:24 6:42 12:32 3:52 6:21 7:51 
26 5:23 6:41 12:32 3:52 6:22 7:52 
27 5:23 6:40 12:32 3:52 6:22 7:52 
28 5:23 6:40 12:32 3:52 6:22 7:52 
  March  
Date Fajr Sunrise Dhuhr Asr Maghrib Isha 
1 5:21 6:39 12:31 3:53 6:23 7:53 
2 5:20 6:38 12:31 3:53 6:23 7:53 
3 5:20 6:37 12:31 3:53 6:24 7:54 
4 5:19 6:37 12:31 3:53 6:24 7:54 
5 5:18 6:36 12:30 3:53 6:25 7:55 
6 5:17 6:35 12:30 3:53 6:25 7:55 
7 5:16 6:34 12:30 3:53 6:25 7:55 
8 5:16 6:33 12:30 3:53 6:26 7:56 
9 5:15 6:32 12:30 3:53 6:26 7:56 
10 5:14 6:31 12:29 3:53 6:26 7:56 
11 5:13 6:31 12:29 3:52 6:27 7:57 
12 5:12 6:30 12:29 3:52 6:27 7:57 
13 5:11 6:29 12:28 3:52 6:27 7:57 
14 5:10 6:28 12:28 3:52 6:28 7:58 
15 5:09 6:27 12:28 3:52 6:28 7:58 
16 5:09 6:26 12:28 3:52 6:28 7:58 
17 5:08 6:25 12:27 3:52 6:29 7:59 
18 5:07 6:24 12:27 3:52 6:29 7:59 
19 5:06 6:23 12:27 3:51 6:29 7:59 
20 5:05 6:23 12:26 3:51 6:30 8:00 
21 5:04 6:22 12:26 3:51 6:30 8:00 
22 5:03 6:21 12:26 3:51 6:30 8:00 
23 5:02 6:20 12:26 3:51 6:31 8:01 
